Date,Agent,All Products,Calls,Carrier Diversification,DMV NB,DMV NB Count,GI,Meal Penalties,Money Reports Error,BF,NB,NB vs Serv,Work Hours,OT,QA Score,Refunds,Tardies,Traffic School,Underwriting Error Margin,Uninsured Motorist %,Unjust OT,UW Open,WQ
1/1/25,jorgel,,,,0,0,0,0,,0,5,-,0,0,,,,,,,,,
1/1/25,yeimys,,,,0,0,0,0,,0,2,-,0,0,,,,,,,,,
1/2/25,AbrahamD,,,,0,0,1815.41,0,,700,2,0.39,8,0.42,,,,,,,,,
1/2/25,AbrahamP,,,,0,0,1483.39,0,,453.84,2,0.31,8,1,,,,,,,,,
1/2/25,acabello,,,,0,0,73,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,aduran,,,,0,0,670.2,0,,545.71,4,0.81,8,1.88,,,,,,,,,
1/2/25,AlanP,,,,0,0,339.71,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,AlejandraRa,,,,0,0,1389.28,0,,1109.28,5,0.80,8,0.48,,,,,,,,,
1/2/25,alexanderl,,,,0,0,1302.93,0,,1092.93,8,0.84,0,0,,,,,,,,,
1/2/25,alexandram,,,,0,0,797,0,,597,4,0.75,8,0.88,,,,,,,,,
1/2/25,AlexC,,,,0,0,747.85,0,,436.09,1,0.58,8,0.09,,,,,,,,,
1/2/25,alexiaz,,,,40.75,1,562.25,0,,392.47,2,0.70,8,0,,,,,,,,,
1/2/25,alfredojm,,,,0,0,110.78,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,alfredome,,,,0,0,743.33,0,,353.32,2,0.48,7.9,0,,,,,,,,,
1/2/25,almag,,,,137.5,1,780.76,0,,200.94,1,0.26,8,0,,,,,,,,,
1/2/25,alonsod,,,,40.75,1,1311.09,0,,713.38,4,0.54,8,1.25,,,,,,,,,
1/2/25,andreaam,,,,0,0,523.06,0,,508.09,2,0.97,8,0,,,,,,,,,
1/2/25,andreae,,,,40.75,1,1033.75,0,,200,1,0.19,7.83,0,,,,,,,,,
1/2/25,andresm,,,,0,0,604.04,0,,557.04,4,0.92,8,0.12,,,,,,,,,
1/2/25,Antonios,,,,0,0,766.89,0,,736.89,3,0.96,8,0.16,,,,,,,,,
1/2/25,anyp,,,,137.5,1,815.5,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,ariasj,,,,0,0,1178.2,0,,928.32,6,0.79,8,0,,,,,,,,,
1/2/25,arturov,,,,0,0,75.02,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,avaldez,,,,0,0,120,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,avelazquez,,,,40.75,1,909.3,0,,528.72,3,0.58,8,0.03,,,,,,,,,
1/2/25,axelv,,,,40.75,1,1463.91,0,,774.44,3,0.53,8,0.15,,,,,,,,,
1/2/25,barbieb,,,,0,0,25,0,,25,1,1.00,8,0.01,,,,,,,,,
1/2/25,brendame,,,,0,0,841.69,0,,351.45,2,0.42,0,0,,,,,,,,,
1/2/25,carlosme,,,,0,0,15,0,,0,0,0.00,7.88,0,,,,,,,,,
1/2/25,cindyo,,,,81.5,2,642.83,0,,296.33,2,0.46,8,0,,,,,,,,,
1/2/25,cmartinez,,,,0,0,802.34,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,creyes,,,,0,0,282.71,0,,227.74,1,0.81,8,0.05,,,,,,,,,
1/2/25,cristinal,,,,40.75,1,943.38,0,,132.47,2,0.14,8,0.17,,,,,,,,,
1/2/25,Cynthiar,,,,40.75,1,470.65,0,,300,1,0.64,8,0,,,,,,,,,
1/2/25,deselvam,,,,0,0,5,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,diannah,,,,0,0,2008.42,0,,557.82,2,0.28,8,0.02,,,,,,,,,
1/2/25,drbadillo,,,,0,0,45,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,ecortez,,,,0,0,546,0,,496,1,0.91,0,0,,,,,,,,,
1/2/25,ecuevas,,,,0,0,360.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,edwards,,,,0,0,1235.54,0,,721.64,3,0.58,8,0.7,,,,,,,,,
1/2/25,erickm,,,,0,0,252.52,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,erickp,,,,0,0,579.72,0,,445.72,2,0.77,8,0.04,,,,,,,,,
1/2/25,fernandag,,,,0,0,30,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,fgutierrez,,,,0,0,832.34,0,,461.5,2,0.55,8,0.4,,,,,,,,,
1/2/25,franciscos,,,,0,0,200,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,francymar,,,,0,0,125,0,,0,0,0.00,7.46,0,,,,,,,,,
1/2/25,fredm,,,,0,0,30.31,0,,0,0,0.00,8,0,,,,,,,,,
1/2/25,gcastellanos,,,,40.75,1,1058.68,0,,342.68,2,0.32,8,0.82,,,,,,,,,
1/2/25,GeorgeL,,,,0,0,1177.61,0,,595,4,0.51,7.87,0,,,,,,,,,
1/2/25,gloriaf,,,,0,0,1318.24,0,,925,5,0.70,8,0.23,,,,,,,,,
1/2/25,gmoyeda,,,,0,0,645.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,gorellana,,,,0,0,1831.74,0,,845,4,0.46,8,1.23,,,,,,,,,
1/2/25,GracielaM,,,,0,0,989.9,0,,558.55,3,0.56,8,1,,,,,,,,,
1/2/25,griseldad,,,,0,0,300,0,,0,2,0.00,0,0,,,,,,,,,
1/2/25,guillermoc,,,,0,0,451.56,0,,0,0,0.00,8,0.01,,,,,,,,,
1/2/25,gustavoh,,,,81.5,2,81.5,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,hectorv,,,,40.75,1,40.75,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,hluevano,,,,0,0,80.02,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,hugod,,,,0,0,354,0,,249,2,0.70,0,0,,,,,,,,,
1/2/25,irerih,,,,0,0,145,0,,130,1,0.90,8,0.19,,,,,,,,,
1/2/25,irvinm,,,,0,0,721,0,,721,4,1.00,7.82,0,,,,,,,,,
1/2/25,isidroc,,,,0,0,30.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,ismaelv,,,,0,0,417.61,0,,393.64,4,0.94,7.85,0,,,,,,,,,
1/2/25,ivanra,,,,0,0,668.39,0,,93,1,0.14,7.99,0,,,,,,,,,
1/2/25,jaimemo,,,,0,0,310,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,jazminhol,,,,0,0,200,0,,200,3,1.00,7.83,0,,,,,,,,,
1/2/25,jcolunga,,,,0,0,0.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,jeanetts,,,,0,0,15,0,,0,2,0.00,0,0,,,,,,,,,
1/2/25,jimenac,,,,0,0,15,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,jonatanr,,,,0,0,250.02,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,jorgej,,,,52.75,1,244.2,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,jorgel,,,,0,0,0,0,,0,3,-,0,0,,,,,,,,,
1/2/25,JorgemA,,,,0,0,1318.53,0,,581,3,0.44,8,0.57,,,,,,,,,
1/2/25,josefinah,,,,0,0,581.58,0,,285.5,3,0.49,0,0,,,,,,,,,
1/2/25,josemar,,,,0,0,45.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,josemun,,,,40.75,1,881.6,0,,611.8,3,0.69,8,0,,,,,,,,,
1/2/25,joser,,,,0,0,205,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,justinr,,,,40.75,1,345.75,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,karlam,,,,0,0,1614.06,0,,638.65,2,0.40,0,0,,,,,,,,,
1/2/25,karymes,,,,0,0,1079.88,0,,724.88,4,0.67,8,0.58,,,,,,,,,
1/2/25,katherinem,,,,0,0,797.17,0,,673.14,3,0.84,8,0,,,,,,,,,
1/2/25,kcoronado,,,,0,0,1883.15,0,,883.7,4,0.47,7.91,0,,,,,,,,,
1/2/25,landih,,,,0,0,499.74,0,,134.74,1,0.27,7.95,0,,,,,,,,,
1/2/25,luisal,,,,0,0,95.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,Luisro,,,,0,0,1480.21,0,,514.92,2,0.35,7.85,0,,,,,,,,,
1/2/25,luzg,,,,0,0,1040.64,0,,550.02,3,0.53,8,0.93,,,,,,,,,
1/2/25,make,,,,0,0,814.64,0,,406,2,0.50,8,0.23,,,,,,,,,
1/2/25,manuels,,,,0,0,395.12,0,,251.6,1,0.64,0,0,,,,,,,,,
1/2/25,marianara,,,,0,0,1006.13,1,,509.34,2,0.51,8,2.23,,,,,,,,,
1/2/25,mariavel,,,,0,0,880.86,0,,470,3,0.53,7.98,0,,,,,,,,,
1/2/25,Mariavr,,,,0,0,158,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,marinaag,,,,0,0,626.86,0,,318.86,3,0.51,7.48,0,,,,,,,,,
1/2/25,mariselaz,,,,81.5,2,1104.81,0,,643.13,4,0.58,8,0.4,,,,,,,,,
1/2/25,MarisolR,,,,0,0,762.25,0,,394.01,1,0.52,8,0.01,,,,,,,,,
1/2/25,marthagon,,,,0,0,0.03,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,MarvinA,,,,0,0,795.54,0,,366,2,0.46,8,0.48,,,,,,,,,
1/2/25,mayrao,,,,0,0,874.43,0,,829.43,4,0.95,0,0,,,,,,,,,
1/2/25,melissace,,,,0,0,265,0,,0,0,0.00,7.82,0,,,,,,,,,
1/2/25,Micahw,,,,0,0,649.79,0,,649.79,3,1.00,0,0,,,,,,,,,
1/2/25,miriamm,,,,0,0,279.56,0,,214.56,1,0.77,0,0,,,,,,,,,
1/2/25,misaelm,,,,0,0,55.05,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,mpurata,,,,0,0,793.16,0,,643.16,4,0.81,0,0,,,,,,,,,
1/2/25,mramos,,,,57.5,2,377.69,0,,200.19,1,0.53,7.52,0,,,,,,,,,
1/2/25,msanchez,,,,0,0,985.88,0,,320.04,2,0.32,8,0.1,,,,,,,,,
1/2/25,nathaliea,,,,0,0,62.38,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,navillel,,,,0,0,0,0,,0,2,-,8,0,,,,,,,,,
1/2/25,ObedD,,,,0,0,680.01,0,,0,0,0.00,8,0.34,,,,,,,,,
1/2/25,oscarg,,,,0,0,792.56,0,,559.71,4,0.71,8,0.13,,,,,,,,,
1/2/25,patriciaA,,,,0,0,0,0,,0,0,-,8,0.01,,,,,,,,,
1/2/25,patrick,,,,0,0,415.17,0,,233.57,2,0.56,0,0,,,,,,,,,
1/2/25,priscillam,,,,0,0,60.02,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,rafaelr,,,,0,0,1118,0,,838,3,0.75,8,0.5,,,,,,,,,
1/2/25,renev,,,,0,0,451.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,rodolfom,,,,40.75,1,410.75,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,rodrigoca,,,,0,0,1301.25,0,,1033,6,0.79,8,0.77,,,,,,,,,
1/2/25,rosalba,,,,0,0,1419.8,0,,804.8,4,0.57,8,1.63,,,,,,,,,
1/2/25,ruthp,,,,0,0,300,0,,0,0,0.00,8,0,,,,,,,,,
1/2/25,samanthav,,,,137.5,1,962.29,0,,590.56,3,0.61,8,0.07,,,,,,,,,
1/2/25,SandraV,,,,0,0,600,0,,550,2,0.92,8,0.08,,,,,,,,,
1/2/25,scarosales,,,,40.75,1,851.16,0,,563,3,0.66,8,0.33,,,,,,,,,
1/2/25,sherry,,,,0,0,290,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,sofiaga,,,,0,0,533.64,0,,318.27,2,0.60,7.8,0,,,,,,,,,
1/2/25,sramirez,,,,0,0,75,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,stephaniev,,,,0,0,410.79,0,,286.77,2,0.70,7.55,0,,,,,,,,,
1/2/25,ugarcia,,,,0,0,65,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,valeriadl,,,,0,0,46.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,vanesaa,,,,81.5,2,615.41,0,,100,1,0.16,7.98,0,,,,,,,,,
1/2/25,victoriag,,,,0,0,15.03,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,victors,,,,0,0,260.01,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,webpayments,,,,0,0,183.5,0,,0,0,0.00,0,0,,,,,,,,,
1/2/25,williamg,,,,40.75,1,502.17,0,,59.87,1,0.12,8,0,,,,,,,,,
1/2/25,wnolasco,,,,0,0,1331.28,0,,986.54,2,0.74,8,0.25,,,,,,,,,
1/2/25,yazmin,,,,0,0,412.48,0,,198.06,1,0.48,8,1.04,,,,,,,,,
1/2/25,yeimys,,,,0,0,0,0,,0,7,-,0,0,,,,,,,,,
1/2/25,yocelinee,,,,0,0,314.06,0,,0,0,0.00,8,0.18,,,,,,,,,
1/2/25,yvonnef,,,,534.75,6,2589.73,0,,1244.5,5,0.48,8,1.16,,,,,,,,,
1/3/25,AbrahamD,,,,0,0,1421.72,0,,540,3,0.38,8,0.33,,,,,,,,,
1/3/25,AbrahamP,,,,0,0,1186.94,0,,368.53,3,0.31,8,1.06,,,,,,,,,
1/3/25,acabello,,,,0,0,330,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,aduran,,,,0,0,703.51,0,,328.51,1,0.47,8,0.33,,,,,,,,,
1/3/25,AlanP,,,,0,0,20.01,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,AlejandraRa,,,,0,0,443.31,0,,159.31,1,0.36,8,0.06,,,,,,,,,
1/3/25,alejandrohuer,,,,0,0,366.55,0,,321.55,2,0.88,7.97,0,,,,,,,,,
1/3/25,alexanderl,,,,0,0,733,0,,523,3,0.71,0,0,,,,,,,,,
1/3/25,alexanderm,,,,0,0,1326.7,0,,1296.7,7,0.98,7.9,0,,,,,,,,,
1/3/25,alexandram,,,,0,0,467.88,0,,467.88,3,1.00,7.92,0,,,,,,,,,
1/3/25,AlexC,,,,0,0,295.83,0,,250.83,1,0.85,8,0.54,,,,,,,,,
1/3/25,alexiaz,,,,0,0,540.42,0,,332.03,1,0.61,7.93,0,,,,,,,,,
1/3/25,alfredojm,,,,0,0,65.02,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,almag,,,,40.75,1,946.17,0,,300.12,2,0.32,8,0,,,,,,,,,
1/3/25,alonsod,,,,137.5,1,1595.17,0,,963.2,4,0.60,8,0.63,,,,,,,,,
1/3/25,andreaam,,,,0,0,1077.85,0,,560.56,2,0.52,8,0,,,,,,,,,
1/3/25,andreae,,,,0,0,1018.34,1,,787.38,4,0.77,8,0.04,,,,,,,,,
1/3/25,andresm,,,,40.75,1,457.44,0,,117.52,1,0.26,8,0.06,,,,,,,,,
1/3/25,ariasj,,,,0,0,937.45,0,,410.9,2,0.44,7.98,0,,,,,,,,,
1/3/25,arturov,,,,0,0,70.01,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,avaldez,,,,0,0,76.01,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,avelazquez,,,,178.25,2,1384.67,0,,761.42,4,0.55,8,1.17,,,,,,,,,
1/3/25,axelv,,,,0,0,285.01,0,,140,1,0.49,8,0,,,,,,,,,
1/3/25,barbieb,,,,0,0,120,0,,0,0,0.00,3.93,0,,,,,,,,,
1/3/25,brendame,,,,0,0,1466.86,0,,601.86,4,0.41,0,0,,,,,,,,,
1/3/25,briseidyc,,,,0,0,1,0,,0,0,0.00,0,0,,,,,,,,,
1/3/25,byronm,,,,0,0,444.89,0,,332.89,2,0.75,0,0,,,,,,,,,
1/3/25,carlosme,,,,0,0,171.75,0,,0,0,0.00,7.99,0,,,,,,,,,
